text,label
How do I temper chocolate for dipping?,dessert
Can you share a recipe for classic chocolate chip cookies?,dessert
How do I make a no-bake cheesecake?,dessert
What is the difference between sorbet and gelato?,dessert
How do I make a perfect choux pastry for eclairs?,dessert
Can you give me a recipe for banana bread?,dessert
How do I make caramel sauce without it crystallising?,dessert
How many calories should I eat per day?,other
What is the history of French cuisine?,other
Can I substitute butter with oil in all recipes?,other
How do I read a recipe in metric measurements?,other
What is the difference between baking powder and baking soda?,other
How do I convert Celsius to Fahrenheit for oven temperatures?,other
What kitchen knives should a home cook own?,other
How do I clean a cast-iron pan after cooking?,other
What is the Maillard reaction?,other
"Can you explain the difference between gnocchi and pasta?",italian
"How do I make fresh pasta dough from scratch?",italian
"What is the correct way to salt pasta water?",italian
"How do I make a classic Bolognese sauce?",italian
"What is the origin of Neapolitan pizza?",italian
"How do I make a proper Italian espresso at home?",italian
"What is the difference between prosciutto and pancetta?",italian
"How do I make panna cotta with fresh berries?",italian
"What flour is best for homemade pizza dough?",italian
"How do I make a traditional Florentine bistecca?",italian
"What is the best way to store fresh pasta?",italian
"How do I make a light and creamy gelato at home?",italian
"What is the correct ratio of rice to broth for risotto?",italian
"How do I make cannoli shells from scratch?",italian
"What cheese should I use for authentic cacio e pepe?",italian
"How do I make homemade corn tortillas from masa harina?",mexican
"What is the best marinade for carne asada?",mexican
"How do I make a proper Mexican rice?",mexican
"What is the difference between red and green enchilada sauce?",mexican
"How do I make chiles rellenos at home?",mexican
"What is the best way to rehydrate dried chiles?",mexican
"How do I make a simple pico de gallo?",mexican
"What is a traditional Mexican pozole recipe?",mexican
"How do I make conchas (Mexican sweet bread)?",mexican
"What is the difference between a tostada and a taco?",mexican
"How do I make Mexican hot chocolate from scratch?",mexican
"What is the best way to make birria tacos?",mexican
"How do I make agua fresca at home?",mexican
"What spices go into chile colorado?",mexican
"How do I make tamales step by step?",mexican
"How do I make a proper Japanese dashi stock?",asian
"What is the secret to making fluffy steamed bao buns?",asian
"How do I make a Thai green curry from scratch?",asian
"What is the difference between miso paste varieties?",asian
"How do I make agedashi tofu at home?",asian
"What is the best way to cook rice noodles?",asian
"How do I make a traditional Vietnamese pho broth?",asian
"What is the difference between basmati and jasmine rice?",asian
"How do I make gyoza (Japanese dumplings) from scratch?",asian
"What is the best wok to use for stir-frying?",asian
"How do I make a proper bibimbap bowl?",asian
"What is the difference between teriyaki and yakitori?",asian
"How do I make char siu (Chinese BBQ pork)?",asian
"What is the best way to make matcha latte at home?",asian
"How do I make laksa from scratch?",asian
"How do I make a proper New England lobster roll?",american
"What is the difference between Kansas City and Texas BBQ?",american
"How do I make a classic American apple pie?",american
"What is the best way to make crispy bacon in the oven?",american
"How do I make a Reuben sandwich at home?",american
"What is the correct way to make a Caesar salad?",american
"How do I make Buffalo chicken wings at home?",american
"What is the best bun for a smash burger?",american
"How do I make mashed potatoes that are perfectly creamy?",american
"What is the difference between cornbread and regular bread?",american
"How do I make Chicago-style deep-dish pizza at home?",american
"What is a proper recipe for Southern biscuits and gravy?",american
"How do I make a classic French dressing for a Cobb salad?",american
"What is the right way to smoke ribs low and slow?",american
"How do I make key lime pie from scratch?",american
"How do I make a proper baba ganoush?",mediterranean
"What is the difference between Greek and Turkish baklava?",mediterranean
"How do I make spanakopita (Greek spinach pie)?",mediterranean
"What is a traditional Moroccan tagine recipe?",mediterranean
"How do I make a proper Lebanese fatayer?",mediterranean
"What herbs are essential in Mediterranean cooking?",mediterranean
"How do I make a classic French ratatouille?",mediterranean
"What is the difference between couscous and bulgur wheat?",mediterranean
"How do I make a proper Turkish kofte?",mediterranean
"What is the best olive oil to use for dipping bread?",mediterranean
"How do I make a simple pasta alla Norma?",mediterranean
"What is the traditional recipe for borek?",mediterranean
"How do I make a fresh and creamy labneh at home?",mediterranean
"What is a classic recipe for Moroccan harira soup?",mediterranean
"How do I make pita bread from scratch?",mediterranean
"How do I make a perfect soft-boiled egg?",breakfast
"What is the best way to make French toast?",breakfast
"How do I make a classic American breakfast burrito?",breakfast
"What is the difference between a crepe and a pancake?",breakfast
"How do I make shakshuka for a crowd?",breakfast
"What is the best way to make a smoothie bowl?",breakfast
"How do I make perfectly scrambled eggs like Gordon Ramsay?",breakfast
"What is a traditional English full breakfast?",breakfast
"How do I make a healthy breakfast muffin?",breakfast
"What is the difference between steel-cut and rolled oats?",breakfast
"How do I make a proper Dutch baby pancake?",breakfast
"What is the best way to store homemade granola?",breakfast
"How do I make a kouign-amann pastry for breakfast?",breakfast
"What is the best fruit to add to overnight oats?",breakfast
"How do I make a light and fluffy waffle?",breakfast
"How do I make a classic French tarte tatin?",dessert
"What is the difference between mousse and pudding?",dessert
"How do I make a sticky toffee pudding?",dessert
"What is the best way to make homemade ice cream without a machine?",dessert
"How do I make a proper New York-style cheesecake?",dessert
"What is the secret to making perfectly flakey pie crust?",dessert
"How do I make a classic Victoria sponge cake?",dessert
"What is the best way to make homemade caramel?",dessert
"How do I make Japanese mochi ice cream?",dessert
"What is the difference between turbinado and brown sugar in baking?",dessert
"How do I make a light and airy angel food cake?",dessert
"What is the classic recipe for a Portuguese pastel de nata?",dessert
"How do I make a proper Pavlova?",dessert
"What is the correct way to make a churros recipe?",dessert
"How do I make a decadent chocolate ganache tart?",dessert
"What does umami mean in cooking?",other
"How do I properly sharpen a chef's knife at home?",other
"What is the best way to store fresh herbs?",other
"How do I reduce the saltiness in an over-salted dish?",other
"What is the difference between sauteing and pan-frying?",other
"How do I know when oil is hot enough for frying?",other
"What is a good substitute for buttermilk in baking?",other
"How do I make a basic vinaigrette dressing?",other
"What is blanching and when should I use it?",other
"How do I make a proper brown butter (beurre noisette)?",other
"What is the best way to caramelise onions?",other
"How do I read a French recipe that uses volume measurements?",other
"What is the difference between stock and broth?",other
"How do I deglaze a pan properly?",other
"What is mise en place and why does it matter?",other
